original_filename,shipto_address,buyer_address,po_number,subtax_amount,seller_address,seller_name,buyer_name,seller_phone,invoice_date,client_id,total_tax,total_tax_%,subtotal,payment_due_date,net_d,invoice_amount,subtax_name,payto_name,total_due_amount,invoice_number,subtax_%,seller_email,shipto_name
gWgvMH5FLvQUKDWkjiWgRtXha5OlBm8ab.jpg,,,,198.00,"# 18 , 19 & 20
EPIP Layout
KIADB , Whitefield
Bengaluru 560066",Tata Communications Limited,,,09/06/22,,,,,,,"3,696.00",CGST,,,IBCC - 100590,,,
gWgvMH5FLtAZh25o1$puiWp2YsqUWspOUi.pdf,,,,,"43 , rue Jouffroy d'Abbans - 75017",HOTEL PAVILLON MONCEAU,ETATS - UNIS,33 1 56 79 25 00,13/06/22,,,,,,,"€ 1,023.28",,,,202206134356,,infos@pavillon-moceau.com,
gWgvMH5FLtAJc0GwIkOSUNjPlYACi$s8J0.jpg,,"c - 162 pocket - c
sarita vihar
DL
India",,,Balraj Sahani Marg,,Mr. Ankit Shivhare,+91 22 6693 4444,04/06/22,,,,"23,000.00",,,"25,760.00",,,,149345,,H6926-RE@accor.com,
gWgvMH5FKtQRQLLXzykpmyMzrXzN1lyrB.jpg,,Near Image Hospital,,,", Madhapur",Lemon Tree Premier,Tata Communications,+91 40 44212121,,,,,,,,13876.32,,,13876.32,,,,
gWgvMH5FKtgXNaNmQFMiKkw8P3qaOWp2O.pdf,,DULLES STATION,,,,MARRIOTT CHATEAU CHAMPLAIN,HARISHA,,,,,,,,,,,,,,,,
gWgvMH5FKtg$sp$ss70f9aO$sQ54qI4Vy0CJ.pdf,,street no,,210.00,"AFL House , Marol Maroshi
Road , Andheri East
Mumbai Maharashtra 400059
India",TCL Traveldesk,Jatinder Basra Indian,"91-020-66410551,91-020-66410552",03 - Jun - 2022,,,,"3,500.00",,,"3,920.00",SGST,,,23/0001782,6.00,res.tf.esquare@fernhotels.com,
gWgvMH5FKswCLKmAXrkW9prQPcf8LfPCj.pdf,,"1st Flr Unit # 1211 Solitaire Corp Park 167 Guru Hargovindji Mrg Andheri ( E )
Mumbai MH 400093
India",,,"SANTACRUZ
MUMBAF",,Tata Global Beverages Ltd,+91,17-06-22,,,,72647.28,,,Rs 72647.28,,,,1111275235,,nickprmr@tatacommunications.com,
gWgvMH5FJtQW8$p6T5kCWZ$sg9q6dpsfnlW.jpg,,,,,"19 GST Road , Guindy
Chennai 600 032 , India
T. +91.44.4023 5555",HABLIS HOTELS,"Tata Communications Ltd
Tata Communications Ltd",+91.44.4023,27/06/2022,,,,,,,8960.00,,,,6672,,,
gWgvMH5FJtATCQNYtSKY9Cyhqysi4IGUK.pdf,,"Plot 36 , subiksha Avenue , Kurinji Nagar , Koilambakkam , Kancheepuram , Tamil Nadu
India
TN
600117",,480.00,"MARADU , COCHIN",Vijaymurugan VG,TATA Communications Ltd,+ 91 484 2705777,22/06/22,,0.00,,,,,"8,960.00",,,,LM17-18-63841,,dm.kochi@lemeridien.com,
gWgvMH5FJsA9NZgGodDmokLWmi78$pASf$p.pdf,,DEHRADUN,,482.13,"Near HIHT Chowk , Jollygrant , Bhaniyawala Dehradun ( U.K ) 248140",HOTEL MJ AERO SUITES,AMIT SHARMA,"+91 8650031333,8650041333,865005133",24 / Jun / 2022,,,,8035.71,,,,SGST,,9584.00,632,6.00,inquiry@mjaerosuites.com,
gWgvMH5FJsAEU$p$sDxcSuua$sEYNNKqz92u.jpg,,,,,"Idco Tower , C / O Tata Communications Limited , 1 Janpath
Bhubaneshwar , Khordha , Orissa India 751022",TATA COMMUNICATIONS TRANSFORMATION SERVICES LIMITED,,0674-6663333,2022-06-24,,,,"10,560.00",,,"11,827.20",,,,BBI1610001408922,,reservations.bhubaneshwar@gingerhotels.com,
gWgvMH5FItwYQTOdcegWFzmZJnjlOgAH6.pdf,,"FERDINANDBRAUNPLATZ 1
40549 DUESSELDORF
Germany",,,"Hamburger Allee 2 , 60486 Frankfurt am Main , Germany",,MICHAEL MADUCH,+49 ( 0 ) 69 79550,06.07.2022,,10.99,7 %,168.00,,,168.00 EUR,,,,51951,,,
gWgvMH5FItgaAsWgH$sQUhmxQ7z3rZSdRz.pdf,,,,,,,,-91.79.490.08888,-2022-06-28,,0.00,,,,,"7,840.00",,,,56857,,,
gWgvMH5FItAeNCIs$ppIdplaWtH6y1Tba1.pdf,,"Videsh Sanchar Bhavan
MG Rd Opp Cross Maidan Fort
Bandra ( E )
Mumbai MH 400001
India",,,"11 Koregaon Road , Pune 411 001",Blue Diamond,Tata Communications Ltd,+91 20 6608 07001,30-06-22,,,,,,,"5,600.00",,,,102099902,,,
gWgvMH5FIswPG89GAQ4gWrq87YCNcb7le.pdf,,,,157.43,"TOWER A B C , BUILDING NO.5 , 19TH FLOOR
EPITOMA , DLF CYBER CITY , GURGAON
GURGAON Haryana India 122002",Roots Corporation Ltd.,"BHUTE , SACHIN VASANTRAO",0832-6643333,24.05.2022,,,,"2,623.75",,,2.938.81,,ROOTS CORPORATION LTD,,GOI1530000616422,,reservations.goa@gingerhotels.com,
gWgvMH5FHvQbwjd2mYl7uA9wDYPvs2fXt.pdf,,"Videsh Sanchar Bhavan
MG Rd Opp Cross Maidan Fort
Bandra ( E )
Mumbai MH 400001
India",,,11 Koregaon Road,Blue Diamond,Tata Communications Ltd,+91 20 6608 07001,30-06-22,,,,,,,"5,600.00",,,,102099900,,,
gWgvMH5FHvA$p0JUMIZsVP0FCQ0WMkOacd.pdf,,"H.NO 22/5 UPPER GROUND FLOOR BLOCK 22
PATEL NAAGR WEST CENTRAL DELHI",,63.90,"alani Marg , Sindhi Society , Acres Club Chembur
, 91-022-68541199 J071 , Maharashtra , Phone :",ern Residency Chembur Mumbai,TATA COMMUNICATIONS LTD,+91 22 6854 1199,23 - Jun - 2022,,352.80,,800.00,,,442.50,SGST,,,23/0004009,9.00,info.fr.chembur,
gWgvMH5FHtw5ijVW3oEKBIADm2uphurwc.pdf,,,,,"Baihata Chariali , Guwahati Road , SBI Building
3rd Floor , Near ASTC office",HOTEL PARIBAS,Pijush,9864269377,30-06-2022,,,,,,,10500.00,,,,12,,,
gWgvMH5FHswHQoHQP8tEWKsjjUtjoxNm$p.pdf,,"Videsh Sanchar Bhavan , MG Road
Bhavan , MG Road Fort , Mumbai - 400001
India",,125.91,"Survey # 30/3 , Viman Nagar Road , Ramwadi",,TATA Communications Ltd.,+ 91 020 67056000,25/06/22,,,,,,,4.480.00,SGST,,,173224,,"Email.:h6833-re@accor.com,Web.:www.novotel.com",
gWgvMH5FHtAR1GdM$pTl1ptZcHXwZCcR$sB.pdf,,,,,"125 Raritan Center Parkway
Edison , NJ 08837
United States",Sheraton Edison Hotel Raritan Center,,732-225-8300,,,,,,,,-315.74,,,,1000080279,,,
gWgvMH5FHsQ9qwovh8cJYe3i5TzJSmYj9.pdf,,"M / s . Tata
Hyderabad",,97.20,"# 6-2-6 , New Bus Stand Rd , Kakaji Colony , Hanamkonda , Warangal - 506001",HOTEL Shreya,Tata Communications,08703517788/08857 14800,01 - JUL - 2022,,,,,,,"6,089.00",,,,,,Info@hotelshreyawarangal.com,
gWgvMH5FHsgFAXftUcdGyf7qRA5t$pDQw2.pdf,,"BANGALORE
Xx
IN
Bangalore KA 560066
India",,684.00,"AFL House , Lok Bharati
Complex , Marol Maroshi
Road Marol , Andher
° Maharashtra 400059",Tata Communications Limited,TATA Communications Ltd.,+91 9920471245,25 June 2022,,INR0.00,,"11,400.00",,,"INR12,768.00",,,,2222-,,tcl.traveldesk@in.fcm.travel,
gWgvMH5FHsQ9qwovh8cJYe3i5TzJSmYj9.jpg,,,,,"6-2-6 , New Bus Stand Rd , Kakaji Colony , Hanamkonda , Warangal -",HOTEL Shreya,Tata,0870 2547788/9885214800,JUN - 2022,,,,,,,"5,443.00",,,,,,Info@hotelshreyawarangal.com,
gWgvMH5FGtQRaawfnzfmYkpckTdIcbUPJ.pdf,,,,,,,TATA COMMUNICATIONS LTD,,,,,,,,,6196,,,,18635,,,
gWgvMH5FHsgaNkQv481ixAhDOXC216nEe.jpg,,,,,", Charholi Bk . , Tal Haveli ,",LODGE,Pawan,9822503974,8627,,,,,,,2400 / -,SGST,,,372,,,
gWgvMH5FGvQBsjIsGu$pC4qFF$pDousfMjR.pdf,,K V rangareddy,,"2,052.00",Puppalaguda,MARRIOTT HOTEL WHITEFIELD,TATA COMMUNICATIONS LIMITED,+ 91-80-49435000,JUL,,,,,,30 days,"26,904.00",,,,133820,,,
gWgvMH5FGtQGJIgxV$sHaap5ef9sZRpa1K.pdf,,,,254.90,"Opp . Grand Plaza Mall , Bhopa Road , Muzaffarnagar",HOTEL RADIANT INN,MR ANIVESH KUMAR,0131-2600777,,,,,"4,248.00",,,"4,758.30",SGST,,,H875,6 %,hotelradiantinn@gmail.com,
gWgvMH5FGtQBnYPHao$pWaA8LthJcSMmSf.pdf,,"NH - 4 , AH - 48 ,
Yashodanagar , Godoli",,129,"Plot No. 2 ,
Yashodha nagar , Godoli , Satara .",Tata Communications Transformation Transformation,,02162 ) 239332,09/06/22,,,,,,,2300,CGST,,,2433,6 %,manasi.hotelpride@gmail.com,
gWgvMH5FGsATPYLXSQvutkiyfWZ$pUg8Bn.pdf,,DEHRADUN,,843.75,India,TATA Communications Ltd.,TATA COMMUNICATIONS LTD .,8650031333,01 / Jul / 2022,,,,14062.50,,,15750.00,CGST,,,699,,inquiry@mjaerosuites.com,
gWgvMH5dPtAdafQO1fgXu5x2Spf81UY$p3.pdf,,"Ultadanga ,
Kolkata
700054
19 - West Bengal",,,"Plot No. BG - 9 , Premises No. 30-1111 , New Town",Lemon Tree Premier,Tata Communications Limited,+91 33 68139900,,,,,,,,"5,264.00",CGST,,"5,264.00",,2.5,,
gWgvMH5dPvQISJf2A0I9qLPzJxbRRHhiz.pdf,,,,,"309 Building 12 Dubai Internet City
Dubai
United Arab Emirates",,,+971 50 3755793,", May 9 , 2022",,,,,,,,,,,,,abdullahaziz25@gmail.com,
gWgvMH5dOtwZ4tjRVoCNXzqwnZ$p0HSbF5.jpg,,"KIADB , Whitefield , KIADB , Whitefield , Plot No.
Bangalore 560066
Karnataka India",,,"Keys Select Hotel Hosur Road ,
Singasandra ,
- 560 068 . Karnataka Bengaluru ,",,TATA COMMUNICATIONS LIMITED,+91 80 6814 1000,,,,,,,,"21,172.00",,,,2083,,,
gWgvMH5dOtQabTSripiIfZEjDxXoo2hpq.pdf,,,,,"No 53 , 2nd Cross , Maruthi Nagar Bengaluru - 560 029 . Madiwala ,",eltainn,"Bipin Patil
Tata Communications",080-497374448,21/05/22,,,,,,,8960,,,,4833,,deltainnblre@gmail.com,
gWgvMH5dOtAAoPqia$pCi46MWcud42Y3se.pdf,,"Videsh Sanchar Bhavan
MG Rd Opp Cross Maidan Fort
Bandra ( E )
Mumbai MH 400001
India",,,,,Tata Communications Ltd,+91 40 6629 3663,01-05-22,,,,,,,"64,540.00",,,,1111265265,,deepak_gusain@hotmail.com,
gWgvMH5BKvAQ4ZsN09RqSRHxIE6WJmZL4.pdf,,,,,"Holiday Inn Golden Mile Hong Kong
香港 九龍 尖沙咀 彌敦道 50 號
50 Nathan Road , Tsim Sha Tsui ,
Kowloon , Hong Kong","香港 金 域 假日 酒店
Holiday Inn Golden",,+852 2369 3111,,,,,,,,,,,,,,reservations.higm@ihg.com,
gWgvMH5dLsAX5M6vJx5ArM7f6CgzKD218.pdf,,"ADDRESS : jpnagarDr ambedkarcolony
144001 jalandhar punjab",,,Hall,,MR ROBIN SHARMA,18001205555,27 - MAY - 2022,,,,,,,5998.00,,,,4969,,reservations@ramadaamritsar.com,
gWgvMH5BKtgLz$p6o8MhT7nPQTFtmRNCFY.jpg,,,,,"2151 Laurelwood Road
Santa Clara , CA 95054",Delta Hotels Santa Clara,Silicon Valley,408-988-8411,,,,,,,,-826.42,,,,1000005217,,,
gWgvMH5dKtA7JmifP$s6vr2lhnCOyE$s6ZI.pdf,,New House 5 mins to Dix30,,,,UTKARSH GOSAIN,Hidden Gem of Westley,19174990236,,,,,,,,,,,,,,gosainutkarsh@gmail.com,
gWgvMH5dLtgcBu3MOepXzhDAzCSc9lAPj.pdf,,,,,Ireland,Airbnb Payments India Pvt . Ltd.,,,"May 03 , 2022",,,,,,,"44,410.44",,,,,,,
