original_filename,shipto_address,buyer_address,po_number,subtax_amount,seller_address,seller_name,buyer_name,seller_phone,buyer_vat_number,invoice_date,client_id,total_tax,total_tax_%,subtotal,payment_due_date,invoice_amount,subtax_name,seller_vat_number,payto_name,total_due_amount,invoice_number,subtax_%,seller_email,shipto_name
gWgvMH5FKtgXNaNmQFMiKkw8P3qaOWp2O.pdf,2330 DULLES STATION,2330 DULLES STATION,NA,429.00,NA,MARRIOTT CHATEAU CHAMPLAIN,BASTIAMPILLAI/HARISHA,,NA,22/06/22,NA,NA,NA,NA,NA,NA,NA,NA,BASTIAMPILLAI/HARISHA,NA,,NA,NA,BASTIAMPILLAI/HARISHA
gWgvMH5FKtQRQLLXzykpmyMzrXzN1lyrB.jpg,Tata Communications Transformations Services Ltd Near Image Hospital,Tata Communications Transformations Services Ltd Near Image Hospital,NA,NA,"Lemon Tree Premier, HITEC City, Hyderabad",PREMIER,Mr. Vallabhu Rao,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mr. Vallabhu Rao,NA,,NA,NA,Mr. Vallabhu Rao
gWgvMH5FKswCLKmAXrkW9prQPcf8LfPCj.pdf,NA,NA,NA,NA,Tata Global Beverages Ltd Ist Flr Unit #1211 Solitaire Corp Park 167,NA,NA,NA,NA,17-06-22,NA,NA,NA,NA,NA,NA,NA,27AABCT0602KIZL,NA,NA,,NA,NA,NA
gWgvMH5FKtg$sp$ss70f9aO$sQ54qI4Vy0CJ.pdf,NA,NA,NA,NA,"E-Square The Fern Pune (A Unit of Concept Hospitality Pvt Ltd) Ganeshkhind Road, Premnagar, Ashok Nagar, Pune - 411016, Maharashtra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
gWgvMH5FLtAJc0GwIkOSUNjPlYACi$s8J0.jpg,c-162 pocket - c sarita vihar DL India,c-162 pocket - c sarita vihar DL India,NA,NA,NA,NOVOTEL,Mr. Ankit Shivhare,NA,NA,04/06/22,NA,NA,NA,NA,NA,NA,NA,NA,Mr. Ankit Shivhare,NA,,NA,NA,Mr. Ankit Shivhare
gWgvMH5FLtAZh25o1$puiWp2YsqUWspOUi.pdf,NA,NA,NA,NA,NA,NA,NA,,NA,13/06/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
gWgvMH5FLvQUKDWkjiWgRtXha5OlBm8ab.jpg,NA,NA,NA,NA,"#18, 19 & 20, EPIP Layout, Room No.: 512, KIADB, Whitefield, Bengaluru 560066",Tata Communications Limited,Mr. Zankrut Mehta,NA,NA,09/06/22,NA,NA,NA,NA,NA,NA,NA,NA,Mr. Zankrut Mehta,NA,,NA,NA,Mr. Zankrut Mehta
gWgvMH5FNtwHaMiJ$p$srmGCHcCjEdq5NIU.pdf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
gWgvMH5FOswYQmQM4dd7rtoJnUkelWmNZ.jpg,NA,NA,NA,NA,"E-Square The Fern Pune (A Unit of Concept Hospitality Pvt Ltd) Ganeshkhind Road, Premnagar, Ashok Nagar, Pune - 411016, Maharashtra",NA,NA,+912066410551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,res.tf.esquare@fernhotels.com,NA
gWgvMH5FNsw5oHwPHqCoRAr8HBHXjmre3.pdf,NA,NA,NA,NA,"KUBER INN ELITE, Mount Poonmallee High Road, Opp Miot Hospital, Mannapakkam, Chennai - 600125",KUBER inn,NA,044-46664999,NA,01/07/2022,NA,NA,NA,NA,NA,NA,NA,33AADCK1373L1ZJ,NA,NA,,NA,Elite@Kuberinn.com,NA
gWgvMH5FOtgdr0EyCoV$peEmyuNFsuIyki.pdf,"B-104,Shah Complex 4, Plot No-14,Sanpada, Navi, Mumbai.","B-104,Shah Complex 4, Plot No-14,Sanpada, Navi, Mumbai.",NA,NA,NA,INN & SUITES' BY RADISSON,Mr. Pradnyesh Pawar,NA,NA,24-06-22,NA,NA,NA,NA,NA,NA,NA,NA,Mr. Pradnyesh Pawar,NA,,NA,NA,Mr. Pradnyesh Pawar
gWgvMH5FOtgNW27q$pz1Pcgzln$pR4gfA50.pdf,"Raj Rajeshwari Nagar Ext, Gilet Bazar, Room No, Varanasi, 2011 IN","Raj Rajeshwari Nagar Ext, Gilet Bazar, Room No, Varanasi, 2011 IN",NA,NA,"BY SHERATON, Bengaluru, Whitefield",NA,Mr Shailesh Singh,,NA,02-06-22,NA,NA,NA,NA,NA,NA,NA,NA,Mr Shailesh Singh,NA,4037,NA,NA,Mr Shailesh Singh
gWgvMH5FOtgV1VbecFlnfWsZK0PmpDLqJ.pdf,NA,NA,NA,NA,"House No. 213, Merck House, 5th Floor, Tri Star Building, Patto Plaza, Goa India 403001",TCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30AAACV2808C1Z2,NA,NA,,NA,NA,NA
gWgvMH5FOvQb9eFo9Z9gQ4jzYP9JroDIj.pdf,NA,NA,NA,NA,"125 Raritan Center Parkway, Edison, NJ 08837, United States",SHERATON,NA,732-225-8300,NA,June 22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
gWgvMH5FOtQb2lCDhf90ySa9Ktc7V7p5t.jpg,NA,NA,NA,NA,"Plot No-CFC/1, Software Layout, Near MEA",AIRPORT STAY INN,Mr.Amiya Nanda,NA,NA,25-06-2022,NA,NA,NA,NA,NA,NA,NA,36AACCV3189Q1ZJ,Mr.Amiya Nanda,NA,,NA,NA,Mr.Amiya Nanda
gWgvMH5FOvQcTOqeyPFsQRmmqTYMoN$pv2.jpg,NA,NA,NA,NA,"100 Front Street W, Toronto, ON, Canada MSJ 1E3",Fairmont,MR Ramesh Marimuthy,(416) 368-2511,NA,06-19-22,NA,NA,NA,NA,NA,NA,VA,NA,MR Ramesh Marimuthy,NA,,NA,NA,MR Ramesh Marimuthy
gWgvMH5FOtQcY1t1uJF4y7fo4x5$sWeVe4.pdf,NA,NA,NA,NA,"THE FERN Residency, MIDC, Pune",(MHASKE LEISURE PVT.LTD.),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
